accelX,accelY,accelZ,gyroX,gyroY,gyroZ
0.439, 0.421, 1.319, -6.038, 27.817, 42.16
0.156, 0.156, 1.071, -0.115, -1.435, 7.366
0.245, 0.374, 1.375, -27.008, -27.053, 6.595
0.337, 0.468, 1.468, -5.275, -46.916, 9.58
0.342, 0.502, 1.559, 15.298, -43.74, 6.282
0.466, 0.484, 1.596, -9.29, 28.603, -13.55
0.383, 0.421, 1.55, 36.092, 27.985, -31.29
0.434, 0.484, 1.461, 62.328, 10.275, -39.313
0.401, 0.45, 1.216, 81.847, 50.672, -41.031
0.405, 0.467, 1.168, 79.344, 54.733, -36.244
0.388, 0.462, 1.118, 73.992, 52.008, -19.924
0.262, 0.388, 0.861, -14.115, -19.977, -74.557
0.573, 0.299, 1.101, 42.824, -21.26, 4.42
0.158, 0.34, 1.265, 108.71, -71.618, -38.916
0.205, 0.348, 1.222, 77.802, 3.321, -33.794
0.565, 0.792, 0.764, 19.496, -40.267, -54.901
0.331, 0.654, 1.137, 42.305, -23.191, -27.763
0.315, 0.44, 1.37, 63.649, -1.496, -8.863
0.334, 0.368, 1.283, 57.511, 1.725, -15.092
0.269, 0.315, 1.185, 54.534, 7.008, -29.511
0.107, 0.513, 1.058, -27.206, 40.542, 24.679
0.405, 0.655, 1.131, 35.145, -94.29, -37.832
0.563, 0.795, 0.975, 14.137, -10.336, -6.817
0.556, 0.792, 0.943, 2.931, 6.16, -21.313
0.58, 0.751, 0.999, -7.244, 23.061, -32.908
0.483, 0.752, 1.258, -94.634, -37.359, 11.786
0.408, 0.669, 1.118, 119.649, -52.084, 1.573
0.463, 0.694, 0.996, 120.115, -58.435, -16.573
-0.067, 0.416, 1.175, -73.282, -15.855, -4.038
-0.019, 0.488, 1.244, -71.496, -3.496, 18.336
0.066, 0.738, 1.04, -11.527, -74.023, 15.107
-0.153, 0.722, 1.393, 59.588, -30.489, -31.0
-0.104, 0.683, 1.299, 86.58, 68.137, -3.038
0.566, 0.739, 1.088, 17.023, -21.122, -40.45
0.415, 0.384, 1.258, -45.649, 31.466, 19.046
0.187, 0.712, 1.358, 27.443, -62.244, -23.382
0.048, 0.485, 1.097, 58.969, 40.962, 33.412
0.19, 0.241, 1.0, 54.183, 19.321, 22.908
0.229, 0.215, 0.988, 45.405, 39.466, 14.893
0.222, 0.241, 0.991, 37.802, 35.351, 10.244
0.393, 0.399, 1.243, -12.893, 44.779, 58.901
0.135, 0.273, 1.533, -2.244, -4.672, -10.443
0.082, 0.198, 1.424, 16.084, -28.313, -27.137
0.678, 0.67, 1.222, 25.16, -42.908, -40.267
0.145, 0.187, 1.354, -81.221, -3.298, 25.29
-0.399, 0.614, 0.98, -15.679, 56.603, 23.687
0.107, 0.951, 0.571, 36.763, 26.947, 17.405
-0.209, 0.864, 0.651, 29.031, -58.298, -21.985
-0.388, 0.833, 0.821, 12.962, 19.687, -1.718
-0.038, 0.882, 0.405, -0.893, 51.168, 22.802
0.025, 0.906, 0.662, 20.771, -21.084, -15.221
-0.152, 0.808, 0.719, -17.954, 16.55, -12.611
-0.109, 0.403, 1.351, 1.962, 0.527, -24.466
-0.435, 0.189, 1.319, 32.809, 11.122, 25.496
-0.267, 0.336, 1.229, -41.718, -31.038, 5.084
-0.167, 0.324, 1.215, 70.71, 25.16, 23.786
-0.03, 0.318, 1.57, -49.679, -18.519, 5.55
-0.62, 0.499, 0.955, 32.786, 27.427, 2.649
-0.748, 0.323, 0.567, 17.038, -5.023, -35.29
-1.017, 0.095, 0.608, 36.794, 17.924, 30.473
-0.797, 0.325, 0.729, -33.198, 6.183, -34.405
-0.375, 0.515, 0.683, 38.603, 13.382, -36.099
-0.676, 0.342, 0.861, 55.779, 28.931, 7.473
-1.122, 0.171, 0.635, 12.061, -22.221, 8.344
-0.02, 0.85, 0.5, 105.275, -24.626, 10.397
-0.489, 0.747, 0.171, 41.87, 11.344, -4.664
-0.989, -0.206, -0.444, 86.55, -148.878, 32.496
-0.734, 0.01, 0.052, 61.466, 19.817, -17.656
-0.873, 0.121, 0.034, 54.969, 35.153, -44.168
-0.692, -0.141, 0.075, 55.168, 35.099, 6.305
-0.816, -0.24, -0.113, -7.008, 35.779, 43.031
-1.178, 0.073, 0.107, -36.458, -10.74, -40.519
-0.807, 0.03, 0.201, 45.71, 5.588, -30.244
-0.747, 0.009, -0.033, -46.565, 53.931, 34.122
-0.963, 0.104, 0.495, 43.305, 19.595, -9.802
-0.436, 0.277, 0.753, 14.435, 25.481, -16.42
-0.513, 0.303, 0.889, 14.992, 67.015, 8.473
-0.911, 0.158, 1.244, 50.748, 34.672, 27.45
-1.198, -0.189, 1.068, 59.481, 17.26, 21.87
-0.916, 0.038, 0.976, -41.382, -29.809, -8.359
-0.46, 0.058, 0.838, 27.305, 0.412, -49.947
-0.581, 0.094, 1.147, -37.443, 8.237, 9.962
-0.725, 0.011, 1.025, 62.901, 35.916, 18.473
-0.424, 0.112, 0.818, 20.58, 1.824, -37.481
-0.638, -0.122, 1.774, 22.496, -25.214, -28.229
-0.341, 0.293, 1.0, -72.725, -16.84, 5.763
-0.554, 0.114, 1.105, -70.45, 7.496, 8.603
-0.757, -0.088, 1.58, 62.992, 15.611, 1.992
-1.123, -0.278, 1.177, 55.939, -16.061, 23.023
-0.592, 0.031, 1.477, -35.336, 6.008, 17.985
-0.599, 0.048, 1.422, 8.687, 22.237, 41.786
-0.153, 0.194, 1.314, 54.603, 23.695, 45.031
-0.561, 0.049, 1.255, 99.198, 24.344, 12.26
-0.405, 0.242, 0.794, 57.832, 45.076, 9.885
-0.364, 0.244, 0.744, 62.626, 48.947, 9.718
-0.383, 0.297, 1.055, -56.985, -14.206, 15.618
-0.062, 0.213, 1.486, 58.145, 13.885, 39.145
-0.332, 0.101, 0.838, -14.626, 8.061, 35.733
-0.285, 0.319, 0.832, -23.656, -28.756, 8.84
-0.22, 0.329, 0.924, -9.687, -23.336, -33.71
-0.639, 0.126, 1.438, -17.855, -7.038, -44.046
-0.394, 0.269, 0.918, -41.13, -3.817, 18.191
-0.214, 0.267, 0.976, -16.252, 9.176, 35.015
-0.383, -0.019, 1.328, 60.885, 40.504, -4.756
-0.678, -0.005, 1.206, 56.153, 42.351, -44.427
-0.22, 0.303, 0.98, 43.092, 71.504, -15.084
-0.592, 0.121, 1.424, 62.672, -131.099, -47.824
-0.437, 0.265, 0.896, 16.901, 60.832, -53.916
-0.297, 0.302, 0.669, 10.885, 1.298, -19.0
-0.03, 0.337, 1.308, -32.527, 56.412, 47.511
-0.28, 0.437, 0.903, 39.924, 30.244, -28.779
-0.315, 0.279, 1.3, 3.595, 30.206, -13.473
0.031, 0.288, 1.049, 2.382, -10.916, 11.519
-0.763, 0.084, 1.224, 4.244, -23.382, -8.359
-0.656, 0.094, 1.561, 4.74, 3.679, -37.84
0.012, 0.448, 1.225, -26.13, -45.634, 50.55
-0.573, 0.51, 1.663, 4.183, -42.183, -10.0
-0.412, 0.135, 0.712, -2.366, -10.267, 5.496
-0.054, 0.185, 1.577, 2.58, -94.954, 6.55
-0.141, 0.105, 1.855, -25.45, 6.214, -8.008
-0.315, 0.25, 0.691, 85.267, 67.176, -43.015
-0.544, -0.233, 0.96, 53.092, 60.275, 34.153
-0.291, 0.123, 0.933, -1.634, 7.122, 19.397
-0.118, 0.318, 1.485, -21.481, -25.153, 28.58
-0.423, 0.126, 0.801, 25.221, -8.74, 8.053
-0.492, 0.063, 0.839, 18.595, -27.084, -34.748
-0.626, -0.367, 0.817, 54.153, 48.931, 21.359
-0.538, 0.109, 1.139, 26.092, 41.748, 31.099
-0.255, 0.052, 1.566, 11.542, 31.13, 8.679
-0.01, 0.106, 1.418, 22.794, 46.718, 26.473
-0.19, 0.122, 1.499, -14.802, -31.786, -14.847
-0.209, 0.181, 1.618, -26.664, -5.229, 13.366
-0.159, 0.118, 1.504, 23.947, 37.221, 2.84
-0.15, 0.239, 1.72, -1.099, -10.046, 26.336
-0.151, 0.121, 1.058, 46.137, 40.076, 22.985
0.093, 0.218, 1.176, 13.305, 61.405, 22.634
-0.104, 0.179, 1.249, 6.061, -37.412, -3.053
-0.194, 0.165, 1.762, 0.389, 10.863, -34.802
-0.026, -0.023, 1.007, 27.336, 57.924, -5.427
-0.099, 0.156, 1.177, -33.351, -42.191, 47.374
0.008, -0.24, 1.567, -17.16, 3.824, -42.702
-0.044, -0.057, 1.227, 25.076, 49.29, -8.916
0.066, 0.142, 1.178, -15.053, -17.733, 65.649
0.111, -0.023, 0.938, 31.267, 85.954, -14.901
-0.064, 0.355, 1.836, -65.817, -50.481, -33.824
-0.408, -0.243, 1.153, 65.107, 61.176, -40.595
-0.263, -0.029, 0.819, 22.771, -5.145, 13.489
-0.075, 0.336, 1.577, -30.389, -46.527, 10.656
-0.302, -0.113, 1.464, 46.519, 40.756, 18.649
-0.004, -0.099, 1.166, 6.298, 43.58, 6.344
0.117, -0.027, 1.366, -11.084, -53.229, 23.725
-0.157, -0.028, 1.513, 78.962, 80.336, -1.183
-0.245, -0.024, 0.721, 31.954, -1.969, 4.649
-0.012, 0.133, 1.352, -43.176, -40.015, 6.649
-0.118, 0.106, 1.134, 63.672, 75.939, -36.618
-0.342, 0.063, 1.403, -112.74, -55.832, -4.0
-0.194, 0.036, 1.487, 59.046, 34.153, 27.229
-0.158, -0.091, 0.932, 34.229, 1.626, -28.489
0.025, 0.04, 1.088, -1.954, 9.573, 19.71
0.086, -0.093, 1.511, 31.366, 39.969, -27.435
-0.101, 0.086, 1.313, -34.947, -33.595, -0.595
-0.056, -0.101, 1.213, 38.0, 47.496, -21.29
-0.013, -0.158, 1.026, 45.664, 41.076, 5.137
-0.572, 0.317, 1.618, 25.305, 63.053, 19.214
-0.112, 0.463, 0.819, -26.756, -14.458, -2.45
-0.322, 0.388, 0.968, 79.954, 43.817, 11.031
-0.42, 0.234, 1.783, 21.916, -14.145, -15.412
-0.314, 0.541, 0.704, -33.473, -1.015, 25.634
-0.047, 0.545, 0.845, -28.176, -3.809, 12.237
-0.192, 0.224, 1.24, -34.931, -21.435, -15.969
-0.395, 0.172, 0.757, 13.198, 14.069, 24.344
-0.275, 0.197, 1.238, -57.863, -53.198, -44.672
-0.209, -0.198, 1.563, 31.015, 51.412, -39.634
