accelX,accelY,accelZ,gyroX,gyroY,gyroZ
-1.21, -1.563, 0.662, 44.42, -250.137, -250.137
-2.0, -2.0, 1.112, 10.305, -75.527, -250.137
0.392, 1.193, 2.0, -228.496, -33.771, -28.901
0.121, 0.539, 0.564, -250.137, 165.947, -64.901
0.412, 0.827, -1.439, 250.13, -182.305, 29.061
0.223, 0.991, 1.815, 250.13, -250.137, 156.557
0.523, 0.452, -0.562, -250.137, 156.13, -120.061
0.17, 2.0, 2.0, 250.13, 18.336, 57.855
0.197, 0.092, -0.451, 110.565, -244.626, 119.275
0.075, -0.283, 1.48, 136.87, -5.359, -20.122
0.244, 1.221, 2.0, 198.573, 97.084, -52.511
-0.692, 0.142, 2.0, -121.534, 17.641, 19.115
-0.079, 0.716, -2.0, 31.511, 40.924, -35.565
-0.722, 1.514, 2.0, -250.137, -200.099, 66.939
-0.372, 0.089, -0.441, 241.084, 80.985, -43.771
-0.152, 2.0, 1.233, -250.137, 38.0, -143.511
-0.885, 1.882, 2.0, 250.13, 41.924, 116.282
0.238, 0.353, -0.901, -250.137, -55.229, -59.252
0.691, 1.905, 0.719, 250.13, -31.229, 93.076
-0.19, 2.0, 1.805, -250.137, 74.015, -221.069
0.325, 1.843, -0.706, 250.13, 31.504, 107.099
-0.607, 2.0, 2.0, 250.13, 123.443, 130.221
0.417, 0.868, -0.532, -250.137, 26.763, -193.45
0.345, 0.893, -0.547, 250.13, 3.84, 132.74
0.409, 0.451, -1.504, -250.137, -33.809, -147.954
0.115, 0.313, -0.325, -250.137, -38.725, -92.046
0.592, 1.591, 0.167, -250.137, 250.13, -111.794
0.373, 0.083, -0.884, -141.817, -3.863, -67.969
-0.49, 1.611, 2.0, 230.198, -30.237, 82.55
0.403, 1.345, -0.138, -250.137, 90.649, -93.282
0.377, 1.099, 0.047, -250.137, 163.221, -86.756
0.895, 1.438, -0.391, 250.13, -244.618, 51.015
-0.711, 2.0, 2.0, 250.13, -38.473, 54.473
-0.169, 0.338, 0.367, 191.977, 89.672, -201.176
0.953, -0.46, 1.435, 67.992, -42.023, -66.092
0.418, -0.131, -0.733, 20.145, 36.985, -53.275
0.01, -0.227, 1.026, -250.137, -81.076, -53.832
-1.386, 1.051, 2.0, 237.282, 230.779, 54.473
-0.402, 1.293, 2.0, 250.13, 250.099, -62.878
-0.603, 1.502, 2.0, -174.977, -162.87, 98.275
0.145, 0.379, -0.163, -60.557, -240.565, 89.74
-0.828, 0.534, 2.0, -3.13, -142.763, 50.214
-0.393, 0.468, 0.277, 250.13, 69.908, 90.763
-0.368, 1.29, 2.0, 106.542, -97.71, 58.122
0.283, 1.15, 0.958, -250.137, 52.244, -83.0
-0.539, 1.439, 2.0, 250.13, 158.748, 55.977
0.086, -0.073, -0.722, 126.634, -25.038, -40.099
0.913, 0.317, 0.043, 180.084, 4.092, 249.252
-0.11, 1.377, 1.776, -247.962, 82.504, -190.015
-0.933, 1.316, 2.0, -171.58, 26.366, -148.076
0.363, 1.302, 2.0, -250.137, 117.702, -73.29
0.315, 0.508, -0.426, 250.13, -64.191, 30.427
-0.404, 0.593, 0.008, -250.137, -73.053, -98.046
0.083, 0.288, 0.015, -206.489, -75.489, 100.985
-0.85, 0.389, 2.0, -131.885, -141.405, 49.023
-0.043, -0.087, -0.571, -116.015, -115.847, -114.496
-0.427, 1.049, 1.318, -250.137, -176.595, 55.58
-0.429, 0.729, 1.112, -250.137, -244.092, -154.733
0.511, 0.602, 2.0, -219.611, -199.863, 92.832
0.075, 0.267, -0.792, -83.328, -149.092, -76.412
0.676, 0.575, -0.449, -224.076, 176.282, -116.817
0.77, 0.19, 0.159, 124.763, -0.122, -73.481
0.798, 0.211, -0.601, 138.412, -58.321, -57.55
0.573, 0.666, -0.487, 233.863, 132.817, 151.626
0.923, 1.637, -0.874, 173.504, 28.344, -56.267
-0.781, 1.113, 0.315, -250.137, -201.099, -102.153
0.226, 1.39, -0.201, 250.13, 149.802, 250.13
-0.905, 1.025, 2.0, -250.137, -39.313, -58.832
-0.034, 0.437, 0.404, -250.137, -92.099, -250.137
-0.117, 1.598, 0.986, 186.252, -8.473, 250.13
0.975, -0.488, 0.327, -143.023, -44.504, -62.344
-2.0, -2.0, 2.0, 178.863, 247.985, 250.13
-0.76, 0.61, 0.351, -250.137, -247.824, -250.137
0.009, 2.0, 0.516, 174.42, 154.931, 47.214
-2.0, -1.692, 2.0, 250.13, 250.13, 250.13
-0.894, 0.097, 0.705, -250.137, -230.145, -250.137
-0.713, 2.0, 1.302, -155.748, -75.397, 250.13
-2.0, -1.848, 2.0, 153.954, 113.122, 250.13
-1.0, -0.187, 0.875, -250.137, -206.702, -250.137
-0.548, 0.282, 0.388, -95.099, -5.931, -250.137
-1.824, 1.242, 0.436, 103.809, -65.626, 250.13
-1.478, -2.0, 1.97, -219.344, -92.885, -166.298
-0.604, 0.646, 0.134, -250.137, -250.137, -250.137
-0.729, 0.763, 0.153, 32.542, 184.763, 250.13
-0.507, 0.619, 0.07, -212.45, -35.626, -250.137
0.345, 0.334, -0.382, -67.374, 250.13, -146.351
-1.197, 2.0, 0.507, 244.229, 250.13, -156.84
-0.398, 2.0, -0.418, -50.992, 124.924, -129.458
0.181, 0.02, -0.859, 199.534, 145.786, 84.321
-0.183, 0.347, -0.738, 250.13, 154.832, 112.649
-0.395, 1.061, -0.144, -71.489, -44.756, -67.328
-0.157, 0.773, -1.11, -23.771, -75.046, -114.588
0.303, -0.827, 0.177, -65.153, -79.359, 82.55
-1.098, 0.542, 2.0, 250.13, 226.122, 226.908
-1.742, 0.707, 1.871, 250.13, -111.267, 250.13
-2.0, 0.137, 0.498, -122.214, 79.702, 224.45
